,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp (F),Wind speed
284,Huilong,0,CN,1541299765,49,28.89,110.18,68.94,3.04
285,Chapais,90,CA,1541297220,92,49.78,-74.86,30.2,14.99
286,Kiunga,32,PG,1541299766,67,-6.12,141.3,89.32,2.98
287,Saldanha,8,PT,1541299766,84,41.42,-6.55,33.61,2.98
288,Saint-Augustin,64,FR,1541298600,93,44.83,-0.61,39.2,3.36
289,Kulhudhuffushi,20,MV,1541299766,100,6.62,73.07,83.34,6.06
290,Gizo,0,IL,1541298000,55,31.8,34.94,60.8,2.24
291,San Antonio,0,CL,1541296800,93,-33.58,-71.61,50.0,2.71
292,Vaitape,24,PF,1541299768,100,-16.52,-151.75,81.76,4.99
293,Birjand,0,IR,1541296800,43,32.86,59.22,33.8,9.17
294,North Bend,1,US,1541296560,93,43.41,-124.22,53.96,3.36
295,Wakkanai,20,JP,1541296800,54,45.41,141.67,59.0,19.46
296,Santa Lucia,92,IT,1541299770,100,39.93,9.66,56.88,13.6
297,Wyndham,90,GB,1541298000,93,51.61,-3.54,55.4,13.87
298,Anloga,40,GH,1541296800,94,5.79,0.9,78.8,1.12
299,Moroni,20,US,1541299771,73,39.52,-111.59,29.88,1.81
300,Honiara,75,SB,1541296800,79,-9.43,159.96,84.2,5.82
301,Quepos,75,CR,1541296800,94,9.43,-84.16,69.8,4.7
302,Bolekhiv,80,UA,1541299834,87,49.07,23.86,47.7,3.27
303,Longyearbyen,20,NO,1541298000,68,78.22,15.63,30.2,33.33
304,San Clemente,20,US,1541299200,93,33.43,-117.61,78.98,4.7
305,Vila Franca do Campo,75,PT,1541298600,88,37.72,-25.43,66.2,11.41
306,Honggang,20,CN,1541299835,58,29.51,114.87,72.45,3.2
307,Buckeye,1,US,1541298900,37,33.37,-112.58,75.02,8.05
308,Tsiroanomandidy,0,MG,1541299836,74,-18.77,46.05,54.18,2.75
309,Presidencia Roque Saenz Pena,36,AR,1541299836,94,-26.79,-60.44,70.6,7.11
310,Kavaratti,32,IN,1541299836,100,10.57,72.64,82.93,12.66
311,Port Hawkesbury,40,CA,1541296800,82,45.62,-61.36,57.2,27.51
312,Saint-Malo,0,FR,1541298600,81,48.65,-2.02,50.0,12.75
313,Souillac,32,FR,1541298600,100,45.6,-0.6,42.8,3.09
314,Mandiana,24,GN,1541299837,78,10.62,-8.7,72.31,7.0
315,Pringsewu,20,ID,1541299837,76,-5.36,104.98,85.59,2.75
316,Florianopolis,75,BR,1541296800,94,-27.6,-48.55,68.0,10.29
317,Karatau,68,KZ,1541299838,75,43.18,70.46,24.52,1.3
318,Tena,0,EC,1541299838,85,-0.99,-77.82,57.06,2.59
319,Sioux Lookout,90,CA,1541296800,92,50.1,-91.92,28.4,2.48
320,Benguela,44,AO,1541299838,100,-12.58,13.4,74.02,4.72
321,Portland,90,US,1541296560,89,45.52,-122.67,55.04,5.82
322,Khorixas,0,NA,1541299839,85,-20.37,14.96,53.5,2.48
323,Te Anau,80,NZ,1541299839,84,-45.41,167.72,45.22,11.92
324,Neyshabur,0,IR,1541299839,76,36.21,58.79,20.2,3.38
325,Kaili,24,ID,1541299840,66,-3.46,120.21,83.2,2.98
326,Isla Vista,1,US,1541298900,42,34.41,-119.86,68.0,6.93
327,Waitati,20,NZ,1541299840,61,-45.75,170.57,51.97,22.32
328,Zhigansk,80,RU,1541299840,80,66.77,123.37,6.48,8.52
329,Casino,0,AU,1541299840,47,-28.86,153.05,93.15,2.04
330,Siniscola,40,IT,1541298000,82,40.57,9.69,64.4,10.29
331,Roald,24,NO,1541298000,66,62.58,6.12,55.4,14.99
332,Ouango,36,CD,1541299841,100,4.31,22.55,68.31,2.19
333,Colares,20,PT,1541298600,87,38.8,-9.45,53.6,1.12
334,Leshukonskoye,92,RU,1541299841,100,64.9,45.76,35.19,3.49
335,Soni,32,TZ,1541299842,94,-4.85,38.37,54.4,1.48
336,Semnan,20,IR,1541296800,48,35.58,53.39,44.6,6.22
337,Wainwright,0,CA,1541299842,86,52.84,-110.86,28.35,9.64
338,Sarapul,92,RU,1541299842,96,56.48,53.82,35.01,12.1
339,Coihaique,90,CL,1541296800,93,-45.58,-72.07,44.6,8.05
340,Luwero,92,UG,1541299843,97,0.85,32.47,63.76,1.3
341,Bilibino,80,RU,1541299843,86,68.06,166.44,1.48,2.75
342,Emba,0,CY,1541298600,59,34.81,32.42,73.4,6.93
343,Beringovskiy,68,RU,1541299843,100,63.05,179.32,31.68,7.9
344,Rabat,75,MA,1541298600,87,34.02,-6.83,60.8,3.36
345,Poronaysk,0,RU,1541299844,85,49.22,143.1,35.19,9.42
346,Khotyn,64,UA,1541299844,86,48.51,26.49,49.59,6.33
347,Taoudenni,0,ML,1541299844,40,22.68,-3.98,57.78,12.44
348,Paamiut,0,GL,1541299845,100,61.99,-49.67,29.11,12.37
349,Talnakh,64,RU,1541299845,87,69.49,88.39,-0.46,2.75
350,Taltal,0,CL,1541299908,98,-25.41,-70.49,54.67,1.25
351,Ponta Delgada,75,PT,1541298600,88,37.73,-25.67,66.2,11.41
352,Krasyukovskaya,56,RU,1541299908,97,47.53,40.09,38.11,4.32
353,Callaway,90,US,1541297700,64,46.98,-95.91,37.94,3.36
354,Evanston,90,US,1541299500,75,42.04,-87.69,46.04,9.17
355,Polunochnoye,92,RU,1541299909,97,60.87,60.43,32.08,8.12
356,Ufimskiy,92,RU,1541299909,98,56.71,58.05,34.74,10.8
357,Point Pedro,8,LK,1541299910,90,9.82,80.23,84.73,13.44
358,Barreirinha,20,BR,1541299910,93,-2.8,-57.07,77.04,1.97
359,Alamogordo,1,US,1541297700,23,32.9,-105.96,53.6,10.29
360,Orchard Homes,90,US,1541296380,65,46.86,-114.05,44.96,4.7
361,Smithers,90,CA,1541296800,100,54.78,-127.17,41.0,4.7
362,Sonqor,0,IR,1541296800,35,34.78,47.6,55.4,11.41
363,Gandzak,20,AM,1541296800,93,40.33,45.12,37.4,1.12
364,Safakulevo,76,RU,1541299911,94,54.99,62.54,29.56,13.33
365,Maragogi,100,BR,1541299665,88,-9.01,-35.22,76.05,7.11
366,Santiago,0,CL,1541296800,58,-33.44,-70.65,59.0,8.05
367,Tiksi,48,RU,1541299912,75,71.64,128.87,-0.19,9.86
368,Victoria,75,BN,1541298600,70,5.28,115.24,89.6,3.36
369,Hami,0,CN,1541299913,55,42.84,93.51,33.52,6.33
370,Zaysan,88,KZ,1541299913,69,47.47,84.87,19.57,3.49
371,Burns Lake,92,CA,1541299913,100,54.23,-125.76,41.17,4.76
372,Lethem,68,GY,1541299913,93,3.38,-59.8,74.65,1.07
373,Codrington,0,AU,1541299914,47,-28.95,153.24,93.15,2.04
374,Shache,88,CN,1541299914,100,38.42,77.24,35.1,2.82
375,Mufumbwe,92,ZM,1541299914,100,-13.68,24.8,62.91,4.72
376,Susehri,0,TR,1541299914,78,40.16,38.09,26.86,2.08
377,Havelock,1,US,1541296680,80,34.88,-76.9,51.98,7.34
378,Sistranda,75,NO,1541296200,76,63.73,8.83,48.2,20.8
379,Morant Bay,20,JM,1541296800,69,17.88,-76.41,82.4,8.05
380,Pilar,0,AR,1541296800,72,-34.46,-58.91,69.8,2.24
381,Coronado,40,PA,1541296800,88,8.53,-79.9,78.8,1.12
382,Nikolskoye,20,RU,1541296800,93,59.7,30.79,35.6,6.71
383,Oudtshoorn,92,ZA,1541297220,29,-33.59,22.2,66.2,9.17
384,Haysville,1,US,1541296560,65,37.56,-97.35,53.06,21.92
385,Roebourne,0,AU,1541299916,16,-20.77,117.15,99.99,11.1
386,Kurilsk,20,RU,1541299917,82,45.23,147.88,55.48,18.63
387,Bon Accord,90,CA,1541296800,87,53.84,-113.41,35.6,2.24
388,Lasa,0,CY,1541298600,59,34.92,32.53,73.4,6.93
389,Uromi,68,NG,1541299917,89,6.71,6.33,76.14,6.06
390,Langxiang,68,CN,1541299918,37,46.95,128.87,27.81,2.86
391,Yerbogachen,80,RU,1541299918,77,61.28,108.01,23.35,8.3
392,Vorozhba,64,UA,1541299918,94,51.17,34.23,38.79,3.09
393,Aloleng,0,PH,1541299918,92,16.13,119.78,85.36,5.84
394,Gangakher,88,IN,1541299919,89,18.95,76.75,72.67,4.76
395,Male,24,UA,1541299919,92,50.74,33.7,40.18,3.04
396,Sangar,8,RU,1541299919,71,63.92,127.47,3.78,2.53
397,Nianzishan,64,CN,1541299919,52,47.51,122.88,28.75,7.4
398,Shitanjing,48,CN,1541299919,72,39.23,106.34,32.8,1.97
399,Margate,75,AU,1541298960,45,-43.03,147.26,62.6,18.34
400,Baja,56,HU,1541299983,57,46.18,18.95,56.2,8.9
401,Jinchang,76,CN,1541299983,89,38.52,102.19,30.91,3.87
402,Nishihara,90,JP,1541298720,82,35.74,139.53,62.6,4.54
403,Clyde River,90,CA,1541299380,84,70.47,-68.59,8.6,10.29
404,Berlevag,92,NO,1541299984,100,70.86,29.09,38.79,6.4
405,Komsomolskiy,44,RU,1541299984,79,67.55,63.78,12.28,2.82
406,Galesong,20,ID,1541299985,100,-5.32,119.37,85.45,3.04
407,Lysva,92,RU,1541299985,100,58.11,57.8,35.01,13.6
408,Los Llanos de Aridane,90,ES,1541298600,64,28.66,-17.92,69.8,17.22
409,Cedar City,1,US,1541296380,37,37.68,-113.06,42.98,5.82
410,Ketchikan,90,US,1541299140,93,55.34,-131.65,48.92,4.7
411,Rio Gallegos,75,AR,1541296800,47,-51.62,-69.22,57.2,18.34
412,Verkhnevilyuysk,76,RU,1541299986,67,63.45,120.31,14.26,7.52
413,Aconibe,88,GQ,1541299986,97,1.29,10.94,70.33,2.37
414,Vieste,68,IT,1541299986,100,41.88,16.18,63.85,6.33
415,Waynesville,90,US,1541296560,76,37.83,-92.2,53.96,13.87
416,Vostok,8,RU,1541299987,62,46.45,135.83,32.53,3.71
417,San Patricio,76,PY,1541299987,98,-26.98,-56.83,70.42,3.87
418,Sokoni,36,CD,1541299987,58,-12.89,28.78,70.51,9.35
419,Killybegs,88,IE,1541299987,100,54.63,-8.45,50.62,26.35
420,Ekhabi,80,RU,1541299987,84,53.51,142.97,30.82,27.65
421,Atar,32,MR,1541299988,81,20.52,-13.05,54.18,3.83
422,Tanout,0,NE,1541299988,31,14.97,8.88,58.86,4.83
423,Ustrzyki Dolne,48,UA,1541299988,93,49.43,22.59,47.38,2.59
424,Port-Gentil,68,GA,1541299988,100,-0.72,8.78,77.94,6.85
425,Waipawa,0,NZ,1541299989,54,-39.94,176.59,58.18,26.08
426,Shimoda,75,JP,1541296800,87,34.7,138.93,60.8,12.75
427,Imbituba,75,BR,1541296800,94,-28.24,-48.67,68.0,10.29
428,Camopi,8,GF,1541299989,73,3.17,-52.33,79.42,3.76
429,Siderno,75,IT,1541296500,77,38.28,16.3,69.8,14.99
430,Elliot Lake,1,CA,1541296800,64,46.37,-82.65,33.8,5.82
431,Bolobo,32,CD,1541299990,100,-2.17,16.23,73.08,1.07
432,Iqaluit,90,CA,1541296800,85,63.75,-68.52,14.0,6.93
433,Kidal,0,ML,1541299990,48,18.44,1.41,63.4,1.52
434,Morondava,0,MG,1541299991,89,-20.3,44.28,71.01,8.23
435,Quatre Cocos,40,MU,1541296800,88,-20.21,57.76,71.6,6.11
436,Bozoum,20,CF,1541299991,86,6.31,16.38,67.0,3.98
437,Sao Filipe,0,CV,1541299991,97,14.9,-24.5,77.58,15.39
438,Karratha,0,AU,1541299991,16,-20.74,116.85,99.99,11.1
439,Hays,90,US,1541296560,70,38.88,-99.33,46.94,10.29
440,Itoman,75,JP,1541298600,94,26.12,127.67,75.2,13.87
441,Pindwara,0,IN,1541299992,47,24.79,73.05,68.76,2.86
442,Digha,20,IN,1541299992,96,21.62,87.51,82.08,7.11
443,Exeter,92,GB,1541299992,97,50.73,-3.53,53.55,13.6
444,Dunedin,20,NZ,1541299822,61,-45.87,170.5,51.97,22.32
445,Surt,0,LY,1541299993,95,31.21,16.59,68.94,12.33
446,Balakhninskiy,76,RU,1541299993,59,58.01,114.28,15.43,5.28
447,La Sarre,80,CA,1541299878,90,48.8,-79.2,31.63,13.11
448,Mbaiki,48,CF,1541299993,97,3.87,17.99,71.32,2.08
449,Wasilla,1,US,1541296560,77,61.58,-149.44,30.92,3.36
450,Mitu,80,IR,1541300057,64,36.2,46.09,38.56,2.82
451,Kuala Terengganu,75,MY,1541296800,94,5.33,103.14,80.6,1.12
452,Kamenka,92,RU,1541300057,96,53.19,44.05,36.31,12.82
453,Bandarbeyla,92,SO,1541300057,100,9.49,50.81,78.66,12.77
454,Bowen,40,AU,1541296800,46,-20.01,148.25,91.4,12.75
455,Porto Belo,20,BR,1541296800,88,-27.15,-48.54,69.8,2.24
456,Sandwick,92,GB,1541296200,100,54.57,-2.89,50.0,20.8
457,Kyshtovka,68,RU,1541300058,72,56.56,76.62,6.75,9.13
458,Sharjah,0,AE,1541296800,31,25.36,55.39,77.0,8.05
459,Cascais,20,PT,1541298600,87,38.7,-9.42,53.6,1.12
460,Namatanai,80,PG,1541300059,100,-3.66,152.44,83.83,7.34
461,Tacuarembo,0,UY,1541300059,93,-31.73,-55.98,61.83,7.9
462,Sladkovo,88,RU,1541300059,97,55.53,70.34,28.12,12.82
463,Kathu,36,ZA,1541300059,35,-27.7,23.05,70.65,10.25
464,Comodoro Rivadavia,0,AR,1541296800,29,-45.87,-67.48,66.2,16.11
465,Ambilobe,0,MG,1541300060,87,-13.19,49.05,70.56,4.09
466,Mount Gambier,24,AU,1541300060,71,-37.83,140.78,64.57,7.0
467,Trinidad,0,UY,1541300060,66,-33.52,-56.9,60.21,7.07
468,Udachnyy,56,RU,1541300060,78,66.42,112.4,9.85,3.87
469,Xuddur,0,SO,1541300061,74,4.12,43.89,72.67,7.4
470,Waingapu,12,ID,1541300061,74,-9.65,120.26,87.25,6.89
471,Mareeba,40,AU,1541298600,52,-16.99,145.42,87.8,10.29
472,Cromwell,0,NZ,1541300061,51,-45.04,169.19,50.35,9.35
473,Katsuura,75,JP,1541296800,67,33.93,134.5,60.8,2.24
474,Santa Rosa,0,AR,1541300063,53,-36.62,-64.29,64.8,13.6
475,Khandyga,36,RU,1541300063,78,62.65,135.58,8.77,6.89
476,Lewisporte,90,CA,1541298600,100,49.25,-55.06,59.0,20.8
477,Nurota,0,UZ,1541296800,67,40.56,65.69,23.0,2.24
478,Merrill,75,US,1541296380,62,42.03,-121.6,48.02,2.59
479,Oxford,1,US,1541298900,96,33.61,-85.83,51.08,4.5
480,Husavik,12,CA,1541300064,94,50.56,-96.99,24.21,2.71
481,Tongliao,92,CN,1541300065,66,43.61,122.27,37.75,12.37
482,Konispol,40,GR,1541298000,93,39.66,20.18,57.2,2.26
483,Minab,20,IR,1541296800,14,27.15,57.07,71.6,13.87
484,Japura,12,ID,1541300065,76,-0.42,102.29,84.69,1.48
485,Hirara,40,JP,1541296800,83,24.8,125.28,80.6,5.82
486,Bongandanga,56,CD,1541300066,98,1.51,21.07,71.64,2.26
487,Xichang,24,CN,1541300066,54,27.88,102.25,53.64,1.7
488,Key West,1,US,1541297700,74,47.93,-96.78,33.8,5.82
489,Shenjiamen,44,CN,1541300066,87,29.96,122.3,70.74,9.8
490,Denpasar,76,ID,1541300051,88,-8.65,115.22,80.05,2.08
491,Pavlogradka,8,RU,1541300067,87,54.2,73.56,21.55,7.78
492,Wum,92,CM,1541300067,99,6.39,10.08,64.48,2.59
493,Manaus,75,BR,1541296800,94,-3.13,-59.98,75.2,2.24
494,Yulara,44,AU,1541296800,22,-25.24,130.99,96.8,5.82
495,Excelsior Springs,90,US,1541298240,89,39.34,-94.23,57.02,11.41
496,Hegang,12,CN,1541300068,50,47.34,130.28,29.34,6.78
497,Tucumcari,1,US,1541296380,75,35.17,-103.73,42.08,8.05
498,Ihosy,24,MG,1541300068,94,-22.4,46.13,59.17,6.51
499,Taucha,90,DE,1541298000,93,51.38,12.49,48.2,4.7
500,Bonavista,76,CA,1541300132,79,48.65,-53.11,55.3,24.11
501,Weinan,90,CN,1541296800,60,34.5,109.46,53.6,6.71
502,Naryan-Mar,88,RU,1541300132,100,67.67,53.09,27.0,11.36
503,Mezen,88,RU,1541300133,98,65.85,44.24,32.04,3.38
504,Tautira,40,PF,1541298600,74,-17.73,-149.15,82.4,13.87
505,Maldonado,0,UY,1541296800,93,-34.91,-54.96,55.4,2.24
506,Araure,40,VE,1541296860,83,9.59,-69.23,73.4,2.24
507,Ranot,80,TH,1541300133,95,7.78,100.32,82.53,10.54
508,Dawei,0,MM,1541300134,63,14.07,98.19,83.11,2.37
509,Gull Lake,1,CA,1541296800,92,50.1,-108.48,28.4,16.11
510,Heihe,0,RU,1541296800,35,50.24,127.51,23.0,11.18
511,Maromitsa,92,RU,1541300134,99,59.87,48.01,38.61,4.76
512,San Ramon,100,NI,1541300135,89,12.92,-85.84,71.19,2.86
513,Ashqelon,0,IL,1541298000,55,31.67,34.57,60.8,2.24
514,Puerto Carreno,12,CO,1541300135,95,6.19,-67.49,70.65,2.08
515,Tarakan,68,ID,1541300104,88,3.3,117.63,84.91,1.86
516,Xinxiang,20,CN,1541300135,48,35.3,113.88,67.23,4.72
517,Port-Cartier,90,CA,1541299560,93,50.03,-66.88,35.6,10.29
518,Srednekolymsk,68,RU,1541300136,66,67.46,153.71,-0.5,4.76
519,Alexandria,40,US,1541298900,90,31.31,-92.44,62.96,9.8
520,Sikonge,20,TZ,1541296800,77,-5.63,32.75,66.2,2.86
521,Shetpe,0,KZ,1541300137,70,44.14,52.16,17.64,3.38
522,Aktau,0,KZ,1541296800,63,43.65,51.16,30.2,11.18
523,Miramar,75,CR,1541296800,94,10.09,-84.73,69.8,4.7
524,Razvilka,90,RU,1541296800,93,55.59,37.75,46.4,11.18
525,Yar-Sale,0,RU,1541300137,99,66.83,70.83,2.02,2.75
526,Leningradskiy,80,RU,1541300138,98,69.38,178.42,28.66,11.25
527,Takoradi,100,GH,1541300138,100,4.89,-1.75,78.84,3.83
528,Cairns,40,AU,1541298600,52,-16.92,145.77,87.8,10.29
529,Saint-Paul,90,FR,1541298600,100,45.22,1.9,37.4,2.71
530,Sao Jose da Coroa Grande,100,BR,1541300138,88,-8.9,-35.15,76.05,7.11
531,Almaty,75,KZ,1541296800,86,43.24,76.95,30.2,4.47
532,Fukue,75,JP,1541296800,93,35.03,136.69,59.0,10.29
533,Dwarka,20,IN,1541298600,64,28.58,77.04,68.0,3.36
534,Tete,80,MZ,1541300025,83,-16.16,33.59,70.83,11.25
535,Codajas,68,BR,1541299858,96,-3.84,-62.06,76.23,1.74
536,Seoul,0,KR,1541298600,38,37.57,126.98,60.8,4.7
537,Sajanan,92,TN,1541296800,87,37.06,9.24,57.2,12.75
538,Lazaro Cardenas,5,MX,1541295780,36,28.39,-105.62,60.8,7.63
539,Half Moon Bay,40,US,1541296560,67,37.46,-122.43,73.4,6.93
540,Vestmanna,88,FO,1541298000,87,62.16,-7.17,48.2,23.04
541,Severomuysk,48,RU,1541300140,66,56.17,113.57,-0.73,2.3
542,Klaksvik,92,FO,1541298000,87,62.23,-6.59,48.2,23.04
543,Anchorage,1,US,1541296560,62,61.22,-149.89,30.92,4.7
544,Ukiah,1,US,1541296560,36,39.15,-123.21,64.94,1.97
545,Muheza,92,TZ,1541300141,94,-5.18,38.79,76.14,6.62
546,Laje,92,BR,1541300141,92,-13.18,-39.42,69.52,6.55
547,Moose Factory,40,CA,1541298600,86,51.26,-80.61,26.6,8.05
548,Havoysund,88,NO,1541298000,100,71.0,24.66,37.4,14.99
549,Cam Ranh,32,VN,1541300142,83,11.92,109.15,82.3,12.33
550,Teshie,20,GH,1541296800,88,5.58,-0.11,80.6,5.82
551,Magadan,40,RU,1541296800,68,59.56,150.8,24.8,6.71
552,Jilib,76,SO,1541300206,96,0.49,42.79,74.2,3.04
553,Kirensk,80,RU,1541300206,64,57.78,108.12,25.29,9.13
554,Veraval,0,FR,1541298600,86,49.65,0.71,44.6,3.36
555,Ostrovnoy,80,RU,1541300207,100,68.05,39.51,32.4,3.38
556,Faya,40,SA,1541296800,87,18.39,42.45,55.4,2.71
557,Cuiluan,0,CN,1541300207,40,47.72,128.65,25.87,4.88
558,Feni,0,BD,1541300207,98,23.02,91.41,79.06,5.06
559,Grants,1,US,1541297700,47,35.15,-107.85,37.58,5.55
560,Ankang,44,CN,1541300208,46,32.73,108.99,57.37,2.37
561,Lucea,20,JM,1541296800,78,18.44,-78.17,80.6,6.93
562,Lauro Muller,92,BR,1541300208,100,-28.39,-49.4,62.73,5.84
563,Trapani,0,IT,1541298000,87,38.02,12.54,60.8,1.12
564,Copiapo,0,CL,1541296800,76,-27.37,-70.33,57.2,5.82
565,Cap Malheureux,40,MU,1541296800,88,-19.98,57.61,71.6,11.32
566,Morrope,20,PE,1541296800,88,-6.54,-80.02,66.2,12.75
567,Port Keats,20,AU,1541300209,72,-14.25,129.55,93.51,4.21
568,Luang Prabang,90,LA,1541296800,88,19.89,102.14,64.4,2.24
569,Nardaran,0,AZ,1541296800,87,40.56,50.01,50.0,4.7
